Inter-account transfers
Things I will be paid back for
Refundable work expenses
Alcohol Cigarettes & Vaping
Books
Gaming
Hobbies
"Holidays, Travel, Adventure"
Sports & Exercise
"Concerts, Events & Tickets"
"TV, Music & Streaming"
ATM & Cash Transactions
Income
Investments
Retirement
Investment fees
Mortgage / Bond / Homeloan
Savings
Paying off debts
Dividends / Returns
Bank charges & interest
Insurance
Taxes
Interest
Phone & Internet
Tech
Digital Services & Software
Donations to charity
Gifts
Supporting Others
Coffee
Eating Out & Takeouts
Car Costs
Car Security / Tracker
Fuel
Public Transport & Taxi Services
"Tolls, Tickets & Parking"
Car Repayments?
Tuition and Course Fees
Clothes & Shoes
Groceries & Household Essentials
Grooming / Cosmetics
Appliances Furniture Decor
Domestic Worker & Garden Service
"Electricity, Water & Rates"
Home Improvement & Maintenance
Home Security
Rent
Health and Medical Costs
Paying Salaries
External Consultants / Services
Food & Supplies
Petcare Services
Accessories & Toys
